"Sector","Avg_Daily_Return","Volatility_Risk"
"Basic_Materials",0.00064859113562391,0.0208356134893252
"Communication_Serv",0.000632892315184154,0.017212809862451
"Consumer_Cycle",0.000728015196255683,0.022068897293346
"Consumer_Defense",0.000463091243353248,0.0144571429444398
"Energy",0.000635840008961225,0.0235821550216949
"Financial_Serv",0.000637180626694641,0.0182881138993516
"Healthcare",0.000622931541229181,0.0165785948743936
"Industrials",0.000714753004465446,0.0174738776157508
"Real_Estate",0.00054711265371758,0.0172459072174119
"Technology",0.000802959252881157,0.0194243201087117
"Utilities",0.000536810986313704,0.0137251599741409
